# TargetTemp,ActualTemp,Duty,ConvVolt,ZenerVolt
30.0,30.68,752,18.748,15.398
30.0,30.70,768,19.910,15.504
30.0,30.71,784,21.239,15.628
30.0,30.72,800,22.755,15.761
30.0,30.74,816,24.493,15.921
30.0,30.75,832,26.531,16.107
30.0,30.77,848,28.934,16.328
30.0,30.78,864,31.815,16.585
30.0,30.80,880,35.343,16.905
30.0,30.81,896,36.300,17.312
30.0,30.82,912,36.300,17.826
30.0,30.84,928,36.300,18.243
30.0,30.85,944,36.300,18.243
30.0,30.87,960,36.300,18.243
30.0,30.88,976,36.300,18.243
30.0,30.89,992,36.300,18.243
30.0,30.91,1008,36.300,18.243

40.0,40.01,0,9.831,9.831
40.0,40.02,16,5.585,5.585
40.0,40.03,32,5.203,5.203
40.0,40.04,48,5.239,5.239
40.0,40.05,64,5.319,5.319
40.0,40.06,80,5.407,5.407
40.0,40.07,96,5.505,5.505
40.0,40.09,112,5.602,5.602
40.0,40.10,128,5.700,5.700
40.0,40.11,144,5.806,5.806
40.0,40.12,160,5.913,5.913
40.0,40.13,176,6.019,6.019
40.0,40.14,192,6.134,6.134
40.0,40.15,208,6.258,6.258
40.0,40.16,224,6.382,6.382
40.0,40.17,240,6.515,6.515
40.0,40.18,256,6.648,6.648
40.0,40.20,272,6.790,6.790
40.0,40.21,288,6.941,6.941
40.0,40.22,304,7.092,7.092
40.0,40.23,320,7.251,7.251
40.0,40.24,336,7.420,7.420
40.0,40.25,352,7.597,7.597
40.0,40.26,368,7.783,7.783
40.0,40.27,384,7.978,7.978
40.0,40.28,400,8.182,8.182
40.0,40.29,416,8.395,8.395
40.0,40.30,432,8.625,8.625
40.0,40.32,448,8.864,8.864
40.0,40.33,464,9.113,9.113
40.0,40.34,480,9.387,9.387
40.0,40.35,496,9.671,9.671
40.0,40.36,512,9.973,9.973
40.0,40.37,528,10.292,10.292
40.0,40.38,544,10.628,10.628
40.0,40.39,560,11.001,11.001
40.0,40.40,576,11.391,11.391
40.0,40.41,592,11.816,11.816
40.0,40.42,608,12.268,12.268
40.0,40.43,624,12.756,12.756
40.0,40.45,640,13.288,13.288
40.0,40.46,656,13.864,13.864
40.0,40.47,672,14.493,14.493
40.0,40.48,688,15.185,15.185
40.0,40.49,704,15.938,15.247
40.0,40.50,720,16.780,15.327
40.0,40.51,736,17.702,15.415
40.0,40.52,752,18.748,15.504
40.0,40.53,768,19.910,15.610
40.0,40.54,784,21.239,15.734
40.0,40.55,800,22.755,15.867
40.0,40.56,816,24.493,16.027
40.0,40.58,832,26.531,16.213
40.0,40.59,848,28.934,16.435
40.0,40.60,864,31.815,16.692
40.0,40.61,880,35.343,17.020
40.0,40.62,896,36.300,17.419
40.0,40.63,912,36.300,17.933
40.0,40.64,928,36.300,18.349
40.0,40.65,944,36.300,18.349
40.0,40.66,960,36.300,18.349
40.0,40.67,976,36.300,18.349
40.0,40.68,992,36.300,18.349
40.0,40.69,1008,36.300,18.349

50.0,49.99,0,9.831,9.831
50.0,49.98,16,5.585,5.585
50.0,49.98,32,5.203,5.203
50.0,49.97,48,5.239,5.239
50.0,49.96,64,5.319,5.319
50.0,49.95,80,5.407,5.407
50.0,49.94,96,5.505,5.505
50.0,49.93,112,5.602,5.602
50.0,49.93,128,5.700,5.700
50.0,49.92,144,5.806,5.806
50.0,49.91,160,5.913,5.913
50.0,49.90,176,6.019,6.019
50.0,49.89,192,6.134,6.134
50.0,49.88,208,6.258,6.258
50.0,49.88,224,6.382,6.382
50.0,49.87,240,6.515,6.515
50.0,49.86,256,6.648,6.648
50.0,49.85,272,6.790,6.790
50.0,49.84,288,6.941,6.941
50.0,49.83,304,7.092,7.092
50.0,49.83,320,7.251,7.251
50.0,49.82,336,7.420,7.420
50.0,49.81,352,7.597,7.597
50.0,49.80,368,7.783,7.783
50.0,49.79,384,7.978,7.978
50.0,49.78,400,8.182,8.182
50.0,49.78,416,8.395,8.395
50.0,49.77,432,8.625,8.625
50.0,49.76,448,8.864,8.864
50.0,49.75,464,9.113,9.113
50.0,49.74,480,9.387,9.387
50.0,49.74,496,9.671,9.671
50.0,49.73,512,9.973,9.973
50.0,49.72,528,10.292,10.292
50.0,49.71,544,10.628,10.628
50.0,49.70,560,11.001,11.001
50.0,49.69,576,11.391,11.391
50.0,49.69,592,11.816,11.816
50.0,49.68,608,12.268,12.268
50.0,49.67,624,12.756,12.756
50.0,49.66,640,13.288,13.288
50.0,49.65,656,13.864,13.864
50.0,49.64,672,14.493,14.493
50.0,49.64,688,15.185,15.185
50.0,49.63,704,15.938,15.353
50.0,49.62,720,16.780,15.424
50.0,49.61,736,17.702,15.513
50.0,49.60,752,18.748,15.601
50.0,49.60,768,19.910,15.708
50.0,49.59,784,21.239,15.832
50.0,49.58,800,22.755,15.965
50.0,49.57,816,24.493,16.124
50.0,49.56,832,26.531,16.311
50.0,49.55,848,28.934,16.532
50.0,49.55,864,31.815,16.789
50.0,49.54,880,35.343,17.108
50.0,49.53,896,36.300,17.516
50.0,49.52,912,36.300,18.030
50.0,49.51,928,36.300,18.447
50.0,49.51,944,36.300,18.447
50.0,49.50,960,36.300,18.447
50.0,49.49,976,36.300,18.447
50.0,49.48,992,36.300,18.447
50.0,49.47,1008,36.300,18.447

60.0,60.02,0,9.831,9.831
60.0,60.03,16,5.585,5.585
60.0,60.05,32,5.203,5.203
60.0,60.06,48,5.239,5.239
60.0,60.08,64,5.319,5.319
60.0,60.09,80,5.407,5.407
60.0,60.11,96,5.505,5.505
60.0,60.12,112,5.602,5.602
60.0,60.14,128,5.700,5.700
60.0,60.15,144,5.806,5.806
60.0,60.17,160,5.913,5.913
60.0,60.18,176,6.019,6.019
60.0,60.20,192,6.134,6.134
60.0,60.21,208,6.258,6.258
60.0,60.23,224,6.382,6.382
60.0,60.24,240,6.515,6.515
60.0,60.26,256,6.648,6.648
60.0,60.27,272,6.790,6.790
60.0,60.29,288,6.941,6.941
60.0,60.30,304,7.092,7.092
60.0,60.31,320,7.251,7.251
60.0,60.33,336,7.420,7.420
60.0,60.34,352,7.597,7.597
60.0,60.36,368,7.783,7.783
60.0,60.37,384,7.978,7.978
60.0,60.39,400,8.182,8.182
60.0,60.40,416,8.395,8.395
60.0,60.42,432,8.625,8.625
60.0,60.43,448,8.864,8.864
60.0,60.45,464,9.113,9.113
60.0,60.46,480,9.387,9.387
60.0,60.48,496,9.671,9.671
60.0,60.49,512,9.973,9.973
60.0,60.51,528,10.292,10.292
60.0,60.52,544,10.628,10.628
60.0,60.54,560,11.001,11.001
60.0,60.55,576,11.391,11.391
60.0,60.57,592,11.816,11.816
60.0,60.58,608,12.268,12.268
60.0,60.60,624,12.756,12.756
60.0,60.61,640,13.288,13.288
60.0,60.63,656,13.864,13.864
60.0,60.64,672,14.493,14.493
60.0,60.66,688,15.185,15.185
60.0,60.67,704,15.938,15.468
60.0,60.69,720,16.780,15.548
60.0,60.70,736,17.702,15.628
60.0,60.72,752,18.748,15.726
60.0,60.73,768,19.910,15.832
60.0,60.74,784,21.239,15.956
60.0,60.76,800,22.755,16.089
60.0,60.77,816,24.493,16.249
60.0,60.79,832,26.531,16.435
60.0,60.80,848,28.934,16.656
60.0,60.82,864,31.815,16.913
60.0,60.83,880,35.343,17.233
60.0,60.85,896,36.300,17.640
60.0,60.86,912,36.300,18.154
60.0,60.88,928,36.300,18.571
60.0,60.89,944,36.300,18.571
60.0,60.91,960,36.300,18.571
60.0,60.92,976,36.300,18.571
60.0,60.94,992,36.300,18.571
60.0,60.95,1008,36.300,18.571

# ALL SWEEPS COMPLETE
