# TargetTemp,ActualTemp,Duty,ConvVolt,ZenerVolt
10.0,10.00,0,5.000,5.000
10.0,10.01,16,5.070,5.070
10.0,10.01,32,5.150,5.150
10.0,10.02,48,5.230,5.230
10.0,10.02,64,5.319,5.319
10.0,10.03,80,5.407,5.407
10.0,10.03,96,5.505,5.505
10.0,10.04,112,5.602,5.602
10.0,10.04,128,5.700,5.700
10.0,10.05,144,5.806,5.806
10.0,10.05,160,5.913,5.913
10.0,10.06,176,6.019,6.019
10.0,10.06,192,6.134,6.134
10.0,10.07,208,6.258,6.258
10.0,10.07,224,6.382,6.382
10.0,10.08,240,6.515,6.515
10.0,10.08,256,6.648,6.648
10.0,10.09,272,6.790,6.790
10.0,10.09,288,6.941,6.941
10.0,10.10,304,7.092,7.092
10.0,10.10,320,7.251,7.251
10.0,10.11,336,7.420,7.420
10.0,10.11,352,7.597,7.597
10.0,10.12,368,7.783,7.783
10.0,10.12,384,7.978,7.978
10.0,10.13,400,8.182,8.182
10.0,10.13,416,8.395,8.395
10.0,10.14,432,8.625,8.625
10.0,10.14,448,8.864,8.864
10.0,10.15,464,9.113,9.113
10.0,10.15,480,9.387,9.387
10.0,10.16,496,9.671,9.671
10.0,10.16,512,9.973,9.973
10.0,10.17,528,10.292,10.292
10.0,10.17,544,10.628,10.628
10.0,10.18,560,11.001,11.001
10.0,10.18,576,11.391,11.391
10.0,10.19,592,11.816,11.816
10.0,10.19,608,12.268,12.268
10.0,10.20,624,12.756,12.756
10.0,10.20,640,13.288,13.288
10.0,10.21,656,13.864,13.864
10.0,10.21,672,14.493,14.493
10.0,10.22,688,15.185,14.848
10.0,10.22,704,15.938,14.919
10.0,10.23,720,16.780,14.999
10.0,10.23,736,17.702,15.078
10.0,10.24,752,18.748,15.176
10.0,10.24,768,19.910,15.282
10.0,10.25,784,21.239,15.406
10.0,10.25,800,22.755,15.539
10.0,10.26,816,24.493,15.699
10.0,10.26,832,26.531,15.885
10.0,10.27,848,28.934,16.098
10.0,10.27,864,31.815,16.364
10.0,10.28,880,35.343,16.683
10.0,10.28,896,36.300,17.082
10.0,10.29,912,36.300,17.596
10.0,10.29,928,36.300,18.013
10.0,10.29,944,36.300,18.013
10.0,10.30,960,36.300,18.013
10.0,10.30,976,36.300,18.021
10.0,10.31,992,36.300,18.021
10.0,10.31,1008,36.300,18.021

20.0,20.01,0,9.831,9.831
20.0,20.01,16,5.585,5.585
20.0,20.02,32,5.203,5.203
20.0,20.03,48,5.239,5.239
20.0,20.04,64,5.319,5.319
20.0,20.04,80,5.407,5.407
20.0,20.05,96,5.505,5.505
20.0,20.06,112,5.602,5.602
20.0,20.06,128,5.700,5.700
20.0,20.07,144,5.806,5.806
20.0,20.08,160,5.913,5.913
20.0,20.08,176,6.019,6.019
20.0,20.09,192,6.134,6.134
20.0,20.10,208,6.258,6.258
20.0,20.10,224,6.382,6.382
20.0,20.11,240,6.515,6.515
20.0,20.12,256,6.648,6.648
20.0,20.13,272,6.790,6.790
20.0,20.13,288,6.941,6.941
20.0,20.14,304,7.092,7.092
20.0,20.15,320,7.251,7.251
20.0,20.15,336,7.420,7.420
20.0,20.16,352,7.597,7.597
20.0,20.17,368,7.783,7.783
20.0,20.17,384,7.978,7.978
20.0,20.18,400,8.182,8.182
20.0,20.19,416,8.395,8.395
20.0,20.20,432,8.625,8.625
20.0,20.20,448,8.864,8.864
20.0,20.21,464,9.113,9.113
20.0,20.22,480,9.387,9.387
20.0,20.22,496,9.671,9.671
20.0,20.23,512,9.973,9.973
20.0,20.24,528,10.292,10.292
20.0,20.24,544,10.628,10.628
20.0,20.25,560,11.001,11.001
20.0,20.26,576,11.391,11.391
20.0,20.26,592,11.816,11.816
20.0,20.27,608,12.268,12.268
20.0,20.28,624,12.756,12.756
20.0,20.29,640,13.288,13.288
20.0,20.29,656,13.864,13.864
20.0,20.30,672,14.493,14.493
20.0,20.31,688,15.185,14.963
20.0,20.31,704,15.938,15.034
20.0,20.32,720,16.780,15.105
20.0,20.33,736,17.702,15.194
20.0,20.33,752,18.748,15.282
20.0,20.34,768,19.910,15.389
20.0,20.35,784,21.239,15.513
20.0,20.35,800,22.755,15.646
20.0,20.36,816,24.493,15.805
20.0,20.37,832,26.531,15.992
20.0,20.37,848,28.934,16.213
20.0,20.38,864,31.815,16.470
20.0,20.39,880,35.343,16.798
20.0,20.40,896,36.300,17.197
20.0,20.40,912,36.300,17.711
20.0,20.41,928,36.300,18.128
20.0,20.42,944,36.300,18.128
20.0,20.42,960,36.300,18.128
20.0,20.43,976,36.300,18.128
20.0,20.44,992,36.300,18.128
20.0,20.44,1008,36.300,18.128

30.0,30.01,0,9.831,9.831
30.0,30.03,16,5.585,5.585
30.0,30.04,32,5.203,5.203
30.0,30.06,48,5.239,5.239
30.0,30.07,64,5.319,5.319
30.0,30.09,80,5.407,5.407
30.0,30.10,96,5.505,5.505
30.0,30.12,112,5.602,5.602
30.0,30.13,128,5.700,5.700
30.0,30.14,144,5.806,5.806
30.0,30.16,160,5.913,5.913
30.0,30.17,176,6.019,6.019
30.0,30.19,192,6.134,6.134
30.0,30.20,208,6.258,6.258
30.0,30.22,224,6.382,6.382
30.0,30.23,240,6.515,6.515
30.0,30.24,256,6.648,6.648
30.0,30.26,272,6.790,6.790
30.0,30.27,288,6.941,6.941
30.0,30.29,304,7.092,7.092
30.0,30.30,320,7.251,7.251
30.0,30.31,336,7.420,7.420
30.0,30.33,352,7.597,7.597
30.0,30.34,368,7.783,7.783
30.0,30.36,384,7.978,7.978
30.0,30.37,400,8.182,8.182
30.0,30.39,416,8.395,8.395
30.0,30.40,432,8.625,8.625
30.0,30.41,448,8.864,8.864
30.0,30.43,464,9.113,9.113
30.0,30.44,480,9.387,9.387
30.0,30.46,496,9.671,9.671
30.0,30.47,512,9.973,9.973
30.0,30.49,528,10.292,10.292
30.0,30.50,544,10.628,10.628
30.0,30.51,560,11.001,11.001
30.0,30.53,576,11.391,11.391
30.0,30.54,592,11.816,11.816
30.0,30.56,608,12.268,12.268
30.0,30.57,624,12.756,12.756
30.0,30.58,640,13.288,13.288
30.0,30.60,656,13.864,13.864
30.0,30.61,672,14.493,14.493
30.0,30.63,688,15.185,15.070
30.0,30.64,704,15.938,15.141
30.0,30.65,720,16.780,15.220
30.0,30.67,736,17.702,15.300
30.0,30.68,752,18.748,15.398
30.0,30.70,768,19.910,15.504
30.0,30.71,784,21.239,15.628
30.0,30.73,800,22.755,15.761
30.0,30.74,816,24.493,15.921
30.0,30.75,832,26.531,16.107
30.0,30.77,848,28.934,16.328
30.0,30.78,864,31.815,16.585
30.0,30.80,880,35.343,16.905
30.0,30.81,896,36.300,17.312
30.0,30.82,912,36.300,17.826
30.0,30.84,928,36.300,18.243
30.0,30.85,944,36.300,18.243
30.0,30.87,960,36.300,18.243
30.0,30.88,976,36.300,18.243
30.0,30.89,992,36.300,18.243
30.0,30.91,1008,36.300,18.243

40.0,40.00,0,9.831,9.831
40.0,40.00,16,5.585,5.585
40.0,40.00,32,5.203,5.203
40.0,40.00,48,5.239,5.239
40.0,40.00,64,5.319,5.319
40.0,40.00,80,5.407,5.407
40.0,40.00,96,5.505,5.505
40.0,40.01,112,5.602,5.602
40.0,40.01,128,5.700,5.700
40.0,40.01,144,5.806,5.806
40.0,40.01,160,5.913,5.913
40.0,40.01,176,6.019,6.019
40.0,40.01,192,6.134,6.134
40.0,40.01,208,6.258,6.258
40.0,40.01,224,6.382,6.382
40.0,40.01,240,6.515,6.515
40.0,40.01,256,6.648,6.648
40.0,40.01,272,6.790,6.790
40.0,40.01,288,6.941,6.941
40.0,40.01,304,7.092,7.092
40.0,40.01,320,7.251,7.251
40.0,40.01,336,7.420,7.420
40.0,40.01,352,7.597,7.597
40.0,40.01,368,7.783,7.783
40.0,40.01,384,7.978,7.978
40.0,40.01,400,8.182,8.182
40.0,40.01,416,8.395,8.395
40.0,40.01,432,8.625,8.625
40.0,40.01,448,8.864,8.864
40.0,40.01,464,9.113,9.113
40.0,40.01,480,9.387,9.387
40.0,40.01,496,9.671,9.671
40.0,40.01,512,9.973,9.973
40.0,40.01,528,10.292,10.292
40.0,40.01,544,10.628,10.628
40.0,40.01,560,11.001,11.001
40.0,40.01,576,11.391,11.391
40.0,40.02,592,11.816,11.816
40.0,40.02,608,12.268,12.268
40.0,40.02,624,12.756,12.756
40.0,40.02,640,13.288,13.288
40.0,40.02,656,13.864,13.864
40.0,40.02,672,14.493,14.493
40.0,40.02,688,15.185,15.176
40.0,40.02,704,15.938,15.247
40.0,40.02,720,16.780,15.318
40.0,40.02,736,17.702,15.406
40.0,40.02,752,18.748,15.504
40.0,40.02,768,19.910,15.610
40.0,40.02,784,21.239,15.726
40.0,40.02,800,22.755,15.867
40.0,40.02,816,24.493,16.027
40.0,40.02,832,26.531,16.204
40.0,40.02,848,28.934,16.426
40.0,40.02,864,31.815,16.692
40.0,40.02,880,35.343,17.011
40.0,40.02,896,36.300,17.410
40.0,40.02,912,36.300,17.924
40.0,40.02,928,36.300,18.341
40.0,40.02,944,36.300,18.341
40.0,40.02,960,36.300,18.341
40.0,40.02,976,36.300,18.341
40.0,40.02,992,36.300,18.341
40.0,40.02,1008,36.300,18.341

50.0,49.99,0,9.831,9.831
50.0,49.99,16,5.585,5.585
50.0,49.98,32,5.203,5.203
50.0,49.97,48,5.239,5.239
50.0,49.96,64,5.319,5.319
50.0,49.95,80,5.407,5.407
50.0,49.94,96,5.505,5.505
50.0,49.94,112,5.602,5.602
50.0,49.93,128,5.700,5.700
50.0,49.92,144,5.806,5.806
50.0,49.91,160,5.913,5.913
50.0,49.90,176,6.019,6.019
50.0,49.89,192,6.134,6.134
50.0,49.89,208,6.258,6.258
50.0,49.88,224,6.382,6.382
